YearsExperience,Salary,y - y~,error*2,x-x~,(x-x~)*(y-y~),(x-x~)*2,y^=mx+b,,
1.1,39343,-2240747,5.02095E+12,-158.3,354710250.1,25058.89,15738.5,23604.5,557172420.3
1.3,46205,-2233885,4.99024E+12,-158.1,353177218.5,24995.61,18599.1,27605.9,762085714.8
1.5,37731,-2242359,5.02817E+12,-157.9,354068486.1,24932.41,21459.7,16271.3,264755203.7
2,43525,-2236565,5.00222E+12,-157.4,352035331,24774.76,28611.2,14913.8,222421430.4
2.2,39891,-2240199,5.01849E+12,-157.2,352159282.8,24711.84,31471.8,8419.2,70882928.64
2.9,56642,-2223448,4.94372E+12,-156.5,347969612,24492.25,41483.9,15158.1,229767995.6
3,60150,-2219940,4.92813E+12,-156.4,347198616,24460.96,42914.2,17235.8,297072801.6
3.2,54445,-2225645,4.9535E+12,-156.2,347645749,24398.44,45774.8,8670.2,75172368.04
3.2,64445,-2215645,4.90908E+12,-156.2,346083749,24398.44,45774.8,18670.2,348576368
3.7,57189,-2222901,4.94129E+12,-155.7,346105685.7,24242.49,52926.3,4262.7,18170611.29
3.9,63218,-2216872,4.91452E+12,-155.5,344723596,24180.25,55786.9,7431.1,55221247.21
4,55794,-2224296,4.94749E+12,-155.4,345655598.4,24149.16,57217.2,-1423.2,2025498.24
4,56957,-2223133,4.94232E+12,-155.4,345474868.2,24149.16,57217.2,-260.2,67704.04
4.1,57081,-2223009,4.94177E+12,-155.3,345233297.7,24118.09,58647.5,-1566.5,2453922.25
4.5,61111,-2218979,4.92387E+12,-154.9,343719847.1,23994.01,64368.7,-3257.7,10612609.29
4.9,67938,-2212152,4.89362E+12,-154.5,341777484,23870.25,70089.9,-2151.9,4630673.61
5.1,66029,-2214061,4.90207E+12,-154.3,341629612.3,23808.49,72950.5,-6921.5,47907162.25
5.3,83088,-2197002,4.82682E+12,-154.1,338558008.2,23746.81,75811.1,7276.9,52953273.61
5.9,81363,-2198727,4.8344E+12,-153.5,337504594.5,23562.25,84392.9,-3029.9,9180294.01
6,93940,-2186150,4.77925E+12,-153.4,335355410,23531.56,85823.2,8116.8,65882442.24
6.8,91738,-2188352,4.78888E+12,-152.6,333942515.2,23286.76,97265.6,-5527.6,30554361.76
7.1,98273,-2181817,4.76033E+12,-152.3,332290729.1,23195.29,101556.5,-3283.5,10781372.25
7.9,101302,-2178788,4.74712E+12,-151.5,330086382,22952.25,112998.9,-11696.9,136817469.6
8.2,113812,-2166278,4.69276E+12,-151.2,327541233.6,22861.44,117289.8,-3477.8,12095092.84
8.7,109431,-2170659,4.71176E+12,-150.7,327118311.3,22710.49,124441.3,-15010.3,225309106.1
9,105582,-2174508,4.72849E+12,-150.4,327046003.2,22620.16,128732.2,-23150.2,535931760
9.5,116969,-2163121,4.67909E+12,-149.9,324251837.9,22470.01,135883.7,-18914.7,357765876.1
9.6,112635,-2167455,4.69786E+12,-149.8,324684759,22440.04,137314,-24679,609053041
10.3,122391,-2157699,4.65566E+12,-149.1,321712920.9,22230.81,147326.1,-24935.1,621759212
10.5,121872,-2158218,4.6579E+12,-148.9,321358660.2,22171.21,150186.7,-28314.7,801722236.1
159.4,2280090,,1.45762E+14,,10190819649,712514.58,,,6438802197
,,,,,,,,,
,,,,m,14302.61209,,,,
,,,,m*x~,2279836.368,,,,
,,,,b = y~ - m * x~,5.19823E+12,,,,
